Date,Open,High,Low,Close,Adj Close,Volume
2009-01-12,18.809999,21.230000,18.530001,20.830000,20.830000,8402800
2009-01-19,20.440001,20.650000,15.880000,18.570000,18.570000,9640700
2009-01-26,18.590000,20.080000,18.379999,19.260000,19.260000,5165500
2009-02-02,19.049999,20.360001,18.660000,19.690001,19.690001,7005300
2009-02-09,19.709999,20.120001,18.290001,18.559999,18.559999,9903100
2009-02-16,17.540001,18.469999,11.480000,11.810000,11.810000,42391700
2009-02-23,11.800000,13.510000,11.760000,12.000000,12.000000,29065200
2009-03-02,11.740000,11.990000,9.930000,10.220000,10.220000,18776800
2009-03-09,10.060000,11.590000,10.000000,11.460000,11.460000,10454300
2009-03-16,11.700000,12.660000,11.400000,12.180000,12.180000,9902700
2009-03-23,12.320000,13.800000,12.080000,13.200000,13.200000,11725200
2009-03-30,12.680000,12.850000,11.370000,12.250000,12.250000,8204300
2009-04-06,12.000000,13.040000,11.510000,12.790000,12.790000,6517300
2009-04-13,12.780000,13.300000,12.380000,12.870000,12.870000,11157200
2009-04-20,12.540000,12.810000,12.050000,12.420000,12.420000,6636800
2009-04-27,12.360000,14.800000,12.220000,13.690000,13.690000,13315500
2009-05-04,13.750000,14.980000,13.410000,14.660000,14.660000,10895400
2009-05-11,14.540000,14.710000,13.800000,14.000000,14.000000,6062100
2009-05-18,14.000000,14.950000,13.910000,14.030000,14.030000,5909300
2009-05-25,13.800000,14.360000,13.700000,13.940000,13.940000,3535400
2009-06-01,13.970000,14.270000,13.470000,13.530000,13.530000,5620900
2009-06-08,13.590000,14.930000,12.950000,14.780000,14.780000,7430100
2009-06-15,14.740000,15.480000,14.500000,15.360000,15.360000,9917200
2009-06-22,15.230000,16.010000,14.540000,15.940000,15.940000,7967800
2009-06-29,15.840000,15.900000,14.770000,14.880000,14.880000,4950200
2009-07-06,14.650000,14.780000,13.710000,14.250000,14.250000,4387700
2009-07-13,14.290000,15.070000,13.980000,13.990000,13.990000,7010900
2009-07-20,13.990000,15.000000,13.810000,14.770000,14.770000,10274800
2009-07-27,14.920000,16.410000,14.690000,16.410000,16.410000,10085500
2009-08-03,16.420000,16.469999,15.730000,15.750000,15.750000,7352300
2009-08-10,15.690000,16.129999,15.350000,15.570000,15.570000,4358700
2009-08-17,15.330000,16.070000,14.960000,15.980000,15.980000,5942100
2009-08-24,16.000000,16.540001,15.570000,16.469999,16.469999,5483600
2009-08-31,16.400000,16.740000,15.610000,16.080000,16.080000,4526400
2009-09-07,16.240000,18.360001,16.059999,17.450001,17.450001,12276800
2009-09-14,17.350000,18.590000,16.750000,18.100000,18.100000,10837900
2009-09-21,17.879999,18.500000,17.719999,17.910000,17.910000,8261000
2009-09-28,18.020000,18.389999,17.180000,17.389999,17.389999,5669200
2009-10-05,17.309999,17.980000,17.190001,17.469999,17.469999,5181500
2009-10-12,17.459999,17.889999,17.030001,17.860001,17.860001,3894800
2009-10-19,17.330000,17.530001,16.510000,17.000000,17.000000,9039600
